question_id,rank,score,chunk_id,doc_id,file_name,source_type,section_path,text
Q007,2,0.113166,CH0070,DOC002,welcome_pack.md,company,Welcome Pack > Getting Started Checklist,"Our on-boarding checklist will be in your Hibob profile on your first day. Below are a few things this will cover.  
#### Everyone  
* [ ] Meet your buddy
* [ ] Attend first career development 121 to introduce role expectations
* [ ] Read the [Acceptable Use Policy](../guides/security/acceptable_use_policy.md) & [Bring Your Own Device Policy](../guides/security/bring_your_own_device.md)
* [ ] Ensure your own devices used for [work are secure](../guides/security/bring_your_own_device.md)
* [ ] Set up Slack account with picture, name(s), name pronunciation guide and [pronouns](https://www.mypronouns.org/)  
#### Non-Engineers
* [ ] Complete the [Github tutorial](https://guides.github.com/activities/hello-world/)"
Q007,3,0.108542,CH0071,DOC002,welcome_pack.md,company,Welcome Pack > Getting Started Checklist > Signing up for Services,"Below you'll find a list of tools that you will need to do your job. You will be setup with the accounts you'll need on your first day with us.  
Note that Google office applications (Docs, Sheets) are the preferred format for internal office documents, to be stored in Google Drive  
#### Everyone  
* [ ] Google Mail (with 2FA)
* [ ] Github (with 2FA)
* [ ] Slack (with 2FA)
* [ ] 1Password (with 2FA)
* [ ] Trello (with 2FA unless using Google Auth to login to Trello)
* [ ] HiBob  
Academy Engineers: you can skip these two for now, but you will probably need them once you graduate.  
* [ ] Xero
* [ ] Kimble  
#### Sales & Marketing  
* [ ] HubSpot
* [ ] Access to [LinkedIn Sales Navigator](https://www.linkedin.com/sales/)  
#### Engineers  
* [ ] Get access to infrastructure for delivery team"
Q007,4,0.087351,CH0064,DOC001,about.md,company,About Made Tech,"As a **purpose-driven organisation**, we believe the **outcomes** we create are more important than the technology we deliver."
Q007,5,0.078851,CH0069,DOC002,welcome_pack.md,company,Welcome Pack,"If it's your first day today, we'd just like you to know how happy we are to have you with us :)  
To give you an idea of what to expect from your on-boarding, we have written this short guide. It covers the things that we think are important for new starters and we hope it provides a basis for your successful on-boarding.  
Over the next few days and weeks we'll introduce:  
1. **Company mission, [values](about.md#our-values), business services and EOSs** - We'll talk about our mission and why the business exists. We'll tell you why we think it's important to improve software delivery in every organisation and how you can help us to achieve our mission.
2. **Peer buddy** — As part of our on-boarding process, we'll introduce you to a company buddy who will be available whenever you need them. If anything crops up (from simple questions to emergencies), feel free to let your buddy know and they will do all they can to help.  
It goes without saying that the rest of the team are here too, so there should be plenty of places to turn if you need anything.
3. [**Role expectations**](../roles/README.md) — All our team members have role expectations and we'll work with you to introduce these to you over the coming weeks.
4. **Career development 121s** — As part of your on-boarding process and ongoing career development, you'll have a monthly 121 with your Line Manager or one of the company directors. These sessions are an opportunity for us to review your progress, look at areas where we can provide support.
5. **Marketplace** — Every Friday, we run showcases. Please contribute to these and once you're feeling confident enough, look to facilitate one of them.
6. **Salary, Pensions & Expenses** — We'll take you through how our finances work, where to go to if you have any questions around salary, pensions, benefits or if you need to submit an expense claim."
Q007,6,0.072526,CH0011,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > Do I have to get a bike? Can I just get accessories?,"Yes! You are more than welcome to just get cycle accessories. Treat yourself to a new helmet, clothing for every season, locks, lights and much more!"
Q007,7,0.055235,CH0065,DOC001,about.md,company,About Made Tech > Our purpose –why we do what we do,"We want to positively impact the future of the country by using technology to improve society, **for everyone**.  
We are already working with **brilliant public servants** to **modernise technology** and **accelerate digital delivery**. But we know we can do more to help those who share our vision."
Q007,8,0.040319,CH0126,DOC021,head_of_service_line.md,roles,Head of Service Line > Competencies,"- Articulation and role modelling of values, purpose, and vision
- Strategic thinking and planning
- Commercial awareness
- Time management including balancing multiple priorities
- Performance management of direct and indirect reports
- Prioritise diversity and inclusion in goals and day-to-day activity
- Inspiring leadership and good communication
- Trust building with your seniors, peers, and juniors
- Continuous improvement and feedback"
Q008,1,0.267045,CH0042,DOC006,hybrid_working.md,benefits,Hybrid Working >  > Exceptional Circumstances,"There may be circumstances where our team members may not be able to attend sites or our offices or may need additional support to be able to do so. We encourage you to reach out to your Line Manager and/or your People Partner to discuss how we can best support you.
You can find more information about hybrid working within our Hybrid Working Policy, and the supporting policies such as TOIL, Project Assignments and Reasonable Adjustments Passport - which you view with your Made Tech account."
Q008,2,0.264936,CH0043,DOC006,hybrid_working.md,benefits,Hybrid Working >  > Hybrid working guidance,"- Check that you're not needed on-site by a client or your team
- Ensure you're available for your team ceremonies as normal and are able to dial in without interruption
- Be a good Slack citizen and check in regularly and visibly with your team throughout the working day in public channels
- Ensure you're not expected for any in-person meetings or sessions"
Q008,3,0.152264,CH0040,DOC006,hybrid_working.md,benefits,Hybrid Working >  > Made Tech offices,"As part of our Hybrid Working policy, we want to encourage organic purposeful face-to-face sessions that help build relationships and stronger teams, which in turn deliver even better work for our teams and clients. Bringing people together regularly creates more opportunities for relationships to be built within teams, across Made Tech, and with our clients and partners.  
For our group-facing team members, and our client-facing team members that do not have a client onsite requirement, we encourage 2 - 3 days a month in a Made Tech office for purpose-driven activities that will help drive valuable outputs and relationship building."
Q008,4,0.145332,CH0039,DOC006,hybrid_working.md,benefits,Hybrid Working,"We believe in people working in the best way for our teams and clients - this may sometimes be in person, remotely at home, from a coffee shop or outside of the UK.  
The best outcomes are delivered by blending different ways and places of work - and we want to empower our teams to make the best decisions for their teams, projects and relationships."
Q008,5,0.13725,CH0045,DOC006,hybrid_working.md,benefits,Hybrid Working >  > Working abroad,"Where possible we will support short-term/ad hoc remote working from outside of the UK (for example if someone wanted to travel and work from abroad for a few weeks during the year and this was viable).
Whilst we will always try to support this, in some cases this may not be feasible.  
When considering this option, you will need to:
- Discuss with your team (as in some cases, client requirements may not support this)
- Inform your line manager
- Let the People team know
- Ensure you're familiar with our security requirements  
Some things to be aware of when thinking about working abroad:
- Client laptops - you are not able to take a client laptop outside of the UK.
- VPN - you must use the VPN to access Made Tech systems.
- Our IT support - We’re only able to provide support during UK working hours. If there is a major issue with the laptop (or other equipment, such as your charger) you would be responsible for ensuring you are able to continue working until you return to the UK.  
If you remain uncertain or you have any additional questions, please reach out to the Compliance team, Ops, or People."
Q008,6,0.126313,CH0041,DOC006,hybrid_working.md,benefits,Hybrid Working >  > Client office,Each of our clients will have their own requirements for Made Tech team members to work from their offices. All client-facing team members will be required to be able to travel to their assigned client office. We expect client-facing teams to create regular opportunities to come together to collaborate and where necessary to align with a client’s specific needs
Q008,7,0.124231,CH0044,DOC006,hybrid_working.md,benefits,Hybrid Working >  > Secure Remote Working,"When remote working, and when onsite with a client, it is important to pay close attention to these security guidelines in addition to your normal security practices:
- If you are in a public place, such as a coffee shop, make sure you are handling any sensitive data responsibly and securely. Can you be overseen? Is your connection secure?
- Ensure any work-related conversations can’t be overheard. If that’s not possible, try to talk in general terms, and without specific details such as names or clients"
Q008,8,0.090761,CH0054,DOC003,taking_holiday.md,benefits,Taking Holiday,"We're building a high-performance organisation that delivers great software products. We recognise that this requires a lot of hard work and that for our team to perform at their highest possible level, they need to live a well-balanced life and take regular time-out for rest, relaxation and rejuvenation.  
All team members have 38 days of leave available between June and May, this is inclusive of public and bank holidays (pro-rata for part time colleagues.) We believe this policy will help us to perform at the highest possible level.  
It is important that you and your colleagues feel that holiday is highly available. That holiday is an easily accessible commodity that enables everyone to get the necessary rest that they need.  
Made Tech will support holiday requests that are up to 4 consecutive weeks, if you wish to take longer than this the additional time may be unpaid. Please see our [Flexible Working](flexible_working.md) as the alternative to Flexible Holiday in those situations."
