chunk_id,company_id,company_name,source_url,source_type,doc_title,section_path,text,corpus_origin,is_poisoned,poison_strength,attack_goal,trust_level,document_version,effective_date,content_hash,instruction_risk_score,source_host
CH0013,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,cycle_to_work_scheme,Cycle To Work > Process for getting a bike through Cycle to Work: > Do I have to spend my eCertificate all at once?,"Although you do not have to use your eCertificate all at once, we would advise that you do as your salary sacrifice amount will be according to the total amount you applied for, even if you spend less.",local_clean,false,none,,official,unknown,,c59bbbbb6658b29c,0.000,
CH0014,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,cycle_to_work_scheme,Cycle To Work > Process for getting a bike through Cycle to Work: > Can I amend my application once I've applied?,"Technically once you have submitted your application, you are unable to amend it. What you would need to do is cancel your application and reapply for your new amount.",local_clean,false,none,,official,unknown,,fac2636977aafef1,0.000,
CH0015,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,cycle_to_work_scheme,Cycle To Work > Process for getting a bike through Cycle to Work: > Do I have to cycle to work every day?,"No, the government guidelines state that you should use your bike and accessories for commuting for at least 50% of its usage however you do not have to log your bikes mileage and we thoroughly encourage you to use your bike in your spare time.",local_clean,false,none,,official,unknown,,7c25d134e41fe7f0,0.000,
CH0016,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,cycle_to_work_scheme,Cycle To Work > Process for getting a bike through Cycle to Work: > What happens if my bike gets damaged or stolen?,"This one’s down to you! Looking after the bike is your responsibility, so we encourage you to purchase insurance. CycleScheme offers insurance options with Bikmo through their website.",local_clean,false,none,,official,unknown,,204b6b430a294fbd,0.000,
CH0017,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,cycle_to_work_scheme,Cycle To Work > Process for getting a bike through Cycle to Work: > What happens to the bike at the end of the scheme?,"Once your hire period has come to an end, CycleScheme team will get in touch to discuss your options (Own it later, Own it now and Return.) The [FAQs section](https://help.cyclescheme.co.uk/article/42-what-is-an-ownership-fee) of their website has lots of information regarding these options.",local_clean,false,none,,official,unknown,,6f6dc07457fdd3f8,0.000,
CH0018,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,cycle_to_work_scheme,Cycle To Work > Process for getting a bike through Cycle to Work: > Who owns the bike?,"CycleScheme are the legal owners of the bike from the start of the hire period, the bike is leased to you. Once you reach the end of your initial 12 month hire period, ownership of the bike will then automatically be transferred to you depending on which ownership option you choose at the end of your initial agreement. Should you not wish to purchase the equipment you can continue to loan it until it is 4 years old at which point the bike automatically becomes yours (unless you wish to return it.)",local_clean,false,none,,official,unknown,,3ad8998740e9670e,0.000,
CH0019,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,cycle_to_work_scheme,Cycle To Work > Process for getting a bike through Cycle to Work: > What are 'hire periods' and 'hire agreements'?,"Your hire agreement is essentially the ‘terms and conditions’ of CycleScheme, which you will sign when you apply. Your hire period is the period that this agreement is valid for - this is also the period in which you will pay your salary sacrifice (12 months.)",local_clean,false,none,,official,unknown,,a2fbcc696bd87d1e,0.000,
CH0020,made_tech,Made Tech,local:handbook-main/chunks.csv,benefits,cycle_to_work_scheme,Cycle To Work > Process for getting a bike through Cycle to Work: > What if I leave my company within my Hire Agreement?,"We completely understand that life can be unpredictable. If you were to leave your company or be made redundant in your hire period, the remaining gross balance would simply be deducted from your last payslip.",local_clean,false,none,,official,unknown,,f41d1b6175c11abe,0.000,
CH0021,made_tech,Made Tech,local:handbook-main/chunks.csv,benefits,cycle_to_work_scheme,Cycle To Work > Process for getting a bike through Cycle to Work: > How does Cycle to Work differ to Interest Free Finance that some retailers offer?,"Through CycleScheme, you will save between 25% and 39% through tax and national insurance and the cost will simply be deducted from your payslip. You’ll also get loads of free extras, discounts and benefits on the CycleScheme website which you would not get on Interest Free Finance! For example, a bike costing £1000 could cost as little as £56.60 a month over 12 months on CycleScheme - compared to £83.33 through Interest Free Finance.",local_clean,false,none,,official,unknown,,d2237b73318ac240,0.000,
CH0022,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,cycle_to_work_scheme,Cycle To Work > Process for getting a bike through Cycle to Work: > Once I put in my application via the CycleScheme website how long will it take to process my application?,We will review any new requests every Friday afternoon so you shouldnt be waiting for more than one week for approval from Made Tech.,local_clean,false,none,,official,unknown,,d25f934a23c187c2,0.000,
CH0023,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,flexible_working,Flexible Working,"Generally, we work Monday to Friday (40 hours) in all roles. We trust you to manage your day, ensuring team and client commitments are met. But for a variety of reasons, people may need to work fewer than 5 days per week. A formal flexible working request is where you request to contractually change your working arrangements on a permanent basis. This could be a request to change your working hours, which days you work or the location you work from and we have an internal process to support this.",local_clean,false,none,,official,unknown,,c4f2e01363b40bf1,0.000,
CH0024,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,flexible_working,Flexible Working > Some things to consider,"**Notice** - Please provide as much notice as you can - ideally 2 months or more - for a request to change your working patterns. It helps us make sure our client commitments can continue to be met. **Project and scheduling needs** - As project and scheduling needs change, we'll do our best to accommodate flexible working patterns. But there may be very occasional times when we need to discuss temporary or permanent changes to a flexible working schedule. We'll try to give you as much notice as we can of any possible change. **Getting paid** - Your salary and any bonus payments will be pro-rated as a percentage of a 5 day week. For example, if you work 4 out of 5 days, your salary and any bonus would be reduced by 20%. **Pension** - As your salary is reduced, so too will your individual and employer pension contributions. You may like to increase your individual contribution to account for this. **Trial period** - If you request a flexible working pattern, there’s usually a trial period to assess the feasibility before any final change is confirmed. **Reduced working hours** - We can only support reduced working hours and not compressed hours or other patterns (such as annualised hours etc).",local_clean,false,none,,official,unknown,,16dd812c1511932b,0.000,
CH0025,made_tech,Made Tech,local:handbook-main/chunks.csv,benefits,help_to_buy_tech,Help to buy Tech with TechScheme,"We've signed up to TechScheme which is accessible through Made Benefits to make it easier and more affordable for our team to buy the latest tech gadgets. TechScheme lets you get the latest tech, such as Smart Phones, Smart Watches and/or Game Consoles, up to a maximum value of £2,000. You apply for an eCertificate worth the value of your shopping basket - so decide what you want to buy before you apply for this perk. You then repay this amount via your salary across 12 months. Powered by Currys to allow you to choose from thousands of products, and take advantage of the sales! Your voucher is valid for up to two years, so no need to spend it all at once! You can now shop at Ikea for all your furniture, flat pack & meatball needs! The process works the exact same, simply select Ikea as your chosen retailer at check out.",local_clean,false,none,,official,unknown,,c05901cf882f4c58,0.000,
CH0026,made_tech,Made Tech,local:handbook-main/chunks.csv,benefits,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 1. How do I apply?,"Head to the TechScheme website which you can access through the Help to buy tech square on Bob Benefits, enter the Employer code (also found in the Tech square on Bob benefits) and complete the application. You will also need your payroll number (labelled Employee ID on your bob profile, or can also be found on your payslip.) Once you have completed the application it will be sent to a member of the people team to approve your request. Once approved you will receive your eCertificate which can then be exchanged for your shiny new tech in store or online!",local_clean,false,none,,official,unknown,,a2ade747fbd2c5f6,0.000,
CH0027,made_tech,Made Tech,local:handbook-main/chunks.csv,company,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 2. I've applied when will I get the eCertificate?,"We will review all new applications every Friday afternoon, so you shouldnt have to wait longer than one week for Made Tech approval. Once we have approved and paid for your voucher you will then be sent this automatically from TechScheme.",local_clean,false,none,,official,unknown,,13589db0356c17e5,0.000,
CH0028,made_tech,Made Tech,local:handbook-main/chunks.csv,company,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 3. What is TechScheme?,"TechScheme allows you to buy the latest technology through your payroll. Whatever the product you purchase, you can pay back the cost over a set period of time (12 months), interest free and with no credit checks required, it's so simple.",local_clean,false,none,,official,unknown,,280079f96017489d,0.000,
CH0029,made_tech,Made Tech,local:handbook-main/chunks.csv,company,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 4. How much will the product(s) cost me?,"Your net pay will be reduced by a monthly amount equivalent to the total cost of the product(s) that you've chosen. This will be spread evenly over the selected period of time. If you request your product before the 18th of the month your deductions will begin the same month, however if you request your voucher on or after the 18th your deductions will begin the following month.",local_clean,false,none,,official,unknown,,580d212a2e88e04e,0.000,
CH0030,made_tech,Made Tech,local:handbook-main/chunks.csv,company,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 5. Hold on I'm not buying the actual product?,"No, you're receiving an Instant eGift Card that you can spend online or in-store at any Currys PC World. This enables you to get total flexibility just in case something changes in-store and you can change your mind.",local_clean,false,none,,official,unknown,,e5c099664b2e8755,0.000,
CH0031,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 6. Where can I get my Product?,"From Currys PC World network of over 450 stores, which have the largest selection of technology in the UK including all the top brand products. You can purchase online at www.currys.co.uk or www.pcworld.co.uk too.",local_clean,false,none,,official,unknown,,181e87661326a5eb,0.000,
CH0032,made_tech,Made Tech,local:handbook-main/chunks.csv,company,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 7. Can I spend more on top of what I buy on TechScheme?,"Yes, of course. You can use your TechScheme voucher to purchase the majority of the product and then pay for the rest!",local_clean,false,none,,official,unknown,,fa8211310d465d9f,0.000,
CH0033,made_tech,Made Tech,local:handbook-main/chunks.csv,company,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 8. Who owns the product?,"As this is not a tax efficient salary sacrifice scheme, you will wholly own the product from the moment of purchase.",local_clean,false,none,,official,unknown,,7c08118a9a2b6913,0.000,
CH0034,made_tech,Made Tech,local:handbook-main/chunks.csv,company,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 9. Can I select more than one product?,"Yes, your spend limit is £2000, but it's up to you how use that amount all at once or over a few smaller products.",local_clean,false,none,,official,unknown,,b96692d3cafb484f,0.000,
CH0035,made_tech,Made Tech,local:handbook-main/chunks.csv,benefits,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 10. What happens if I leave before the end of the payment period?,"If you leave before the end of the payment period, you must pay back the outstanding amount and this will deducted from your final net pay.",local_clean,false,none,,official,unknown,,2810cb0826cc4123,0.000,
CH0036,made_tech,Made Tech,local:handbook-main/chunks.csv,company,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 11. What if my product gets stolen or damaged?,"It's recommended you obtain separate insurance, or check your product is covered under your home contents insurance policy. Payments from your salary will not stop or be suspended due to loss or damage of the product.",local_clean,false,none,,official,unknown,,6999b7824f08a9af,0.000,
CH0037,made_tech,Made Tech,local:handbook-main/chunks.csv,company,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 12. What happens if my product breaks?,"If your product breaks you need to get in contact with Currys PC World: Within 30 days of purchase or delivery: You always have the option of an exchange or refund if the fault occurs within 30-days of purchase or delivery. You can return it to the store or arrange a pick up by calling the Knowhow contact centre on 0344 561 1234, or by emailing (customer.services@currys.co.uk) Extended range large kitchen appliances cannot be returned to one of Currys PC World stores, please call Knowhow contact centre on 0344 561 1234. Returns and exchanges can only be processed with proof of purchase. This can be the sales receipt, a bank statement or an online sales invoice. Please provide your Currys PC World order numbers when you return a product. Within each product’s guarantee period (normally 12 months from purchase or delivery), Currys PC World offer you a prompt repair service. In all cases, Currys PC World reserves the right to inspect the product and verify the fault. Please call the Knowhow contact centre on 0344 561 1234 or emailing (customer.services@currys.co.uk) to arrange a collection. To speed up the process, please have your order number to hand before calling. Currys do not cover faults caused by accident, neglect, misuse or normal wear and tear.",local_clean,false,none,,official,unknown,,5de407314246b367,0.000,
CH0038,made_tech,Made Tech,local:handbook-main/chunks.csv,benefits,help_to_buy_tech,Help to buy Tech with TechScheme > TechScheme FAQs > 13. How do I request a refund?,"You have a right to withdraw from the benefit and cancel the Funding Plan at any time prior to, and within 14 calendar days of, receipt of an email containing the Redemption Code, such 14 days to begin on the day after receipt of the said Redemption Code (“Cooling Off Period”). If You redeem any of Your Redemption Codes with one of the Authorised Retailers (online or in-store) at any time during the Cooling Off Period You will no longer be able to cancel this Funding Plan. If You wish to cancel the Funding Plan in accordance with “Your Rights” described above You need to send written confirmation of Your request to cancel to Techscheme via email at info@techscheme.co.uk, or by post to Techscheme, PO Box 3809, BATH, BA1 1WX.",local_clean,false,none,,official,unknown,,c0f8eea9f2577d38,0.000,
CH0039,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,hybrid_working,Hybrid Working,"We believe in people working in the best way for our teams and clients - this may sometimes be in person, remotely at home, from a coffee shop or outside of the UK. The best outcomes are delivered by blending different ways and places of work - and we want to empower our teams to make the best decisions for their teams, projects and relationships.",local_clean,false,none,,official,unknown,,45a990efca74fde2,0.000,
CH0040,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,hybrid_working,Hybrid Working >  > Made Tech offices,"As part of our Hybrid Working policy, we want to encourage organic purposeful face-to-face sessions that help build relationships and stronger teams, which in turn deliver even better work for our teams and clients. Bringing people together regularly creates more opportunities for relationships to be built within teams, across Made Tech, and with our clients and partners. For our group-facing team members, and our client-facing team members that do not have a client onsite requirement, we encourage 2 - 3 days a month in a Made Tech office for purpose-driven activities that will help drive valuable outputs and relationship building.",local_clean,false,none,,official,unknown,,967316f91db6c185,0.000,
CH0041,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,hybrid_working,Hybrid Working >  > Client office,Each of our clients will have their own requirements for Made Tech team members to work from their offices. All client-facing team members will be required to be able to travel to their assigned client office. We expect client-facing teams to create regular opportunities to come together to collaborate and where necessary to align with a client’s specific needs,local_clean,false,none,,official,unknown,,2866eb440d4ad5f8,0.000,
CH0042,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,hybrid_working,Hybrid Working >  > Exceptional Circumstances,"There may be circumstances where our team members may not be able to attend sites or our offices or may need additional support to be able to do so. We encourage you to reach out to your Line Manager and/or your People Partner to discuss how we can best support you. You can find more information about hybrid working within our Hybrid Working Policy, and the supporting policies such as TOIL, Project Assignments and Reasonable Adjustments Passport - which you view with your Made Tech account.",local_clean,false,none,,official,unknown,,88a5acb934109ffe,0.000,
CH0043,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,hybrid_working,Hybrid Working >  > Hybrid working guidance,- Check that you're not needed on-site by a client or your team - Ensure you're available for your team ceremonies as normal and are able to dial in without interruption - Be a good Slack citizen and check in regularly and visibly with your team throughout the working day in public channels - Ensure you're not expected for any in-person meetings or sessions,local_clean,false,none,,official,unknown,,254cb8fa3ca6b9d0,0.000,
CH0044,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,hybrid_working,Hybrid Working >  > Secure Remote Working,"When remote working, and when onsite with a client, it is important to pay close attention to these security guidelines in addition to your normal security practices: - If you are in a public place, such as a coffee shop, make sure you are handling any sensitive data responsibly and securely. Can you be overseen? Is your connection secure? - Ensure any work-related conversations can’t be overheard. If that’s not possible, try to talk in general terms, and without specific details such as names or clients",local_clean,false,none,,official,unknown,,e575ac6fc1b56e54,0.000,
CH0045,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,hybrid_working,Hybrid Working >  > Working abroad,"Where possible we will support short-term/ad hoc remote working from outside of the UK (for example if someone wanted to travel and work from abroad for a few weeks during the year and this was viable). Whilst we will always try to support this, in some cases this may not be feasible. When considering this option, you will need to: - Discuss with your team (as in some cases, client requirements may not support this) - Inform your line manager - Let the People team know - Ensure you're familiar with our security requirements Some things to be aware of when thinking about working abroad: - Client laptops - you are not able to take a client laptop outside of the UK. - VPN - you must use the VPN to access Made Tech systems. - Our IT support - We’re only able to provide support during UK working hours. If there is a major issue with the laptop (or other equipment, such as your charger) you would be responsible for ensuring you are able to continue working until you return to the UK. If you remain uncertain or you have any additional questions, please reach out to the Compliance team, Ops, or People.",local_clean,false,none,,official,unknown,,800ff4736b770440,0.000,
CH0046,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,hybrid_working,Hybrid Working >  > Travel expenses,Team members may expense travel to client sites that are outside of their regional office. Travel to and from your allocated office & within your regional office area is not able to be expensed. #### What is part of my regional office? - London - within the M25 - Manchester - all Manchester postcodes (M postcodes) - Bristol - within a 25KM radius of Bristol city centre - Swansea - within a 25KM radius of Swansea city centre You will be able to use our TravelPerks platform to book trains and hotels for your journey. For more information on when and how to use this take a look at the [Travel Perk doc](https://docs.google.com/document/d/1cgASgYU9rjF-y7pa9gJ9FJ8HCBP6M3ntmdgeLZclSPo/edit) and/or head over to our TravelPerks slack channel.,local_clean,false,none,,official,unknown,,79b8beada8fec2ca,0.000,
CH0047,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,income_protection_and_life_insurance,Income Protection Cover,We offer income protection cover for all Made Tech employees. If you are unable to work due to serious illness or disability this policy will pay you 75% of your salary for up to 2 years. The income protection scheme defers for the first 13 weeks of a colleague's absence and an assessment of the absence being eligible for income protection scheme will be taken by the scheme provider.,local_clean,false,none,,official,unknown,,ec920e0e80297744,0.000,
CH0048,made_tech,Made Tech,local:handbook-main/chunks.csv,company,income_protection_and_life_insurance,Life Insurance,We offer life insurance cover for all company employees which will financially support your loved ones following death. This policy pays out 4x your annual salary.,local_clean,false,none,,official,unknown,,3cbc0c0ad3a697c7,0.000,
CH0049,made_tech,Made Tech,local:handbook-main/chunks.csv,company,lunchers,Lunchers,"Once a month in each office we select 5 people to have lunch together on us! Order from your favourite restaurant, nip to the shops or find a local cafe - the choice is yours!",local_clean,false,none,,official,unknown,,00a1f9fbed7eb9f5,0.000,
CH0050,made_tech,Made Tech,local:handbook-main/chunks.csv,work_model,lunchers,Lunchers > How it works,"- At the start of the month the date for each region will be posted in the Slack channel. To be in with a chance of being selected, book your desk and make sure you are in the office on that day! - The day before lunch the lucky lunchers will be posted in the regions Slack channel - if you cant make it, give your spot to someone else whos in. *You can only expense your lunch if you are chosen for lunchers.* If you have any questions, ask the People or Finance Team.",local_clean,false,none,,official,unknown,,bfab352f627c4553,0.000,
CH0051,made_tech,Made Tech,local:handbook-main/chunks.csv,benefits,pension_scheme,Pension Scheme,"We have introduced a much-improved pension offering for all employees (as of May 2022). The workplace pension scheme is run by Scottish Widows and follows a contribution matching model where Made Tech matches the level of contribution you decide to make. The pension contribution available to you is aligned to your grade: - Grade 8: 4% employer matched - Grade 9 - 10: 6% employer matched - Grade 11 - 12: 7% employer matched - Grade 13 - 15: 8% employer matched - Grade 16 - 17: 9% employer matched The minimum contribution in every level is 4% (employer matched). There is no maximum contribution, however your salary must remain above the national minimum wage thresholds set by HMRC. If you’d like to adjust your contributions, please [submit a request via Made Benefits](https://madetech.happl.com/). Pension contributions are deferred for your first 90 days, if you want to opt in early add the date into the ""Pension Scheme"" section of your Hibob profile where you will be enrolled on a 4% contribution scheme which you can adjust after your probationary period. Our pension scheme is based on a salary sacrifice approach which is more tax-efficient for both employer and employee. We have removed the qualifying earnings limit, which should simplify pension management for those of you who are higher rate taxpayers. If you want to calculate your contributions you can use the calculator on the [Scottish Widows](https://www.scottishwidows.co.uk/retirement/calculators-tools/how-do-you-pay-to-your-pension/salary-sacrifice/) website. - You can opt out at any point by updating the pension section on Made Benefits. If you select to opt-out at the start of your employment, any initial deduction will be refunded if this is made within one month of the initial deduction. If you selected to opt out before the cut-off date (on the 18th) it will be processed in the same month, otherwise it will be in the following month. Any deductions made will usually stay in the pension until you're eligible to access your money, financial advice can be obtained to assist you transferring your pension to another provider. - There are also [Government guidelines](https://www.gov.uk/workplace-pensions/if-you-want-to-leave-your-workplace-pension-scheme) on opt-out You can read more about Workplace pensions on [gov.uk](https://www.gov.uk/workplace-pensions/about-workplace-pensions) You can read more about Pensions and some third party advice on [MoneySavingExpert](http://www.moneysavingexpert.com/savings/discount-pensions) For any general pensions queries please enquire via Ask Made Tech.",local_clean,false,none,,official,unknown,,eea99850fec7e488,0.000,
CH0052,made_tech,Made Tech,local:handbook-main/chunks.csv,benefits,private_medical_insurance,Private Medical Insurance,We have introduced BUPA Private Medical Insurance to employees who are Grade 11 (Lead/Principal) and above. This policy will cover the costs of private healthcare from diagnosis through to treatment. This is a taxable benefit and is declarable on a P11D.,local_clean,false,none,,official,unknown,,8c769e352e68b30f,0.000,
CH0053,made_tech,Made Tech,local:handbook-main/chunks.csv,benefits,season_ticket_loan,Season Ticket Loan,"On completion of the probation period, we offer a season ticket loan up to the value of one month's net salary. You will need to provide a receipt for the season ticket. The loan will be repaid automatically at PAYE from your net salary every month. There is no tax benefit, and no interest is payable. If you leave the company prior to your loan being repaid, the outstanding balance will be deducted from your final salary payment.",local_clean,false,none,,official,unknown,,2d880c391a52c264,0.000,
CH0054,made_tech,Made Tech,local:handbook-main/chunks.csv,benefits,taking_holiday,Taking Holiday,"We're building a high-performance organisation that delivers great software products. We recognise that this requires a lot of hard work and that for our team to perform at their highest possible level, they need to live a well-balanced life and take regular time-out for rest, relaxation and rejuvenation. All team members have 38 days of leave available between June and May, this is inclusive of public and bank holidays (pro-rata for part time colleagues.) We believe this policy will help us to perform at the highest possible level. It is important that you and your colleagues feel that holiday is highly available. That holiday is an easily accessible commodity that enables everyone to get the necessary rest that they need. Made Tech will support holiday requests that are up to 4 consecutive weeks, if you wish to take longer than this the additional time may be unpaid. Please see our [Flexible Working](flexible_working.md) as the alternative to Flexible Holiday in those situations.",local_clean,false,none,,official,unknown,,c26ba69c176f6ce7,0.000,
CH0055,made_tech,Made Tech,local:handbook-main/chunks.csv,benefits,taking_holiday,Taking Holiday > How long are you taking?,"We trust you'll use your best judgement when taking holidays. This is the level of notice we expect when you take your holiday: * **For 1 day** – you must give at least 3 days notice * **For 2 days** – you must give at least 1 week notice * **For between 3 days - 4 days** – you must give at least 2 weeks notice * **For between 1 week - 2 weeks** – you must give at least 4 weeks notice * **For greater than 2 weeks** – you must give 3 months notice The notice guidance is a minimum - please aim to give your team as much notice of upcoming leave as you can. Your team, Delivery Manager and client should all agree to your leave before you schedule this in, and providing notice minimises the chance of problems being raised. Where your team plans work at a regular cadence (e.g. during sprint planning every two weeks), you should aim to make the team aware of any potential leave to help the team remain accountable for commitments made. The ability to book holiday/learning days at shorter notice whilst you are within the chalet is an accepted exception to the above notice periods - in those instances please check in with Scheduling to ensure you are not due to be imminently assigned to an account and let your line manager know. If you wish to book holiday outside of these guidelines, please make a request to your Head of Capability, Head of Industry, or Head of Business Service who will help you plan for this time off.",local_clean,false,none,,official,unknown,,f2d9d566919ae2c9,0.000,
